episode,mean_score,pit_score
0,1.0,1.0
1,2.0,3.0
2,1.0,-1.0
3,0.75,0.0
4,0.8,1.0
5,0.8333333333333334,1.0
6,0.7142857142857143,0.0
7,0.625,0.0
8,0.7777777777777778,2.0
9,0.7,0.0
10,0.6363636363636364,0.0
11,0.5,-1.0
12,0.5384615384615384,1.0
13,0.6428571428571429,2.0
14,0.6666666666666666,1.0
15,0.625,0.0
16,0.5882352941176471,0.0
17,0.6111111111111112,1.0
18,0.5263157894736842,-1.0
19,0.5,0.0
20,0.5238095238095238,1.0
21,0.4090909090909091,-2.0
22,0.391304347826087,0.0
23,0.375,0.0
24,0.36,0.0
25,0.34615384615384615,0.0
26,0.4074074074074074,2.0
27,0.39285714285714285,0.0
28,0.3793103448275862,0.0
29,0.36666666666666664,0.0
30,0.3225806451612903,-1.0
31,0.28125,-1.0
32,0.24242424242424243,-1.0
33,0.29411764705882354,2.0
34,0.2571428571428571,-1.0
35,0.25,0.0
36,0.2972972972972973,2.0
37,0.2894736842105263,0.0
38,0.28205128205128205,0.0
39,0.275,0.0
40,0.2682926829268293,0.0
41,0.2619047619047619,0.0
42,0.2558139534883721,0.0
43,0.29545454545454547,2.0
44,0.3111111111111111,1.0
45,0.3695652173913043,3.0
46,0.40425531914893614,2.0
47,0.375,-1.0
48,0.3877551020408163,1.0
49,0.36,-1.0
50,0.37254901960784315,1.0
51,0.38461538461538464,1.0
52,0.41509433962264153,2.0
53,0.42592592592592593,1.0
54,0.43636363636363634,1.0
55,0.42857142857142855,0.0
56,0.38596491228070173,-2.0
57,0.3793103448275862,0.0
58,0.3728813559322034,0.0
59,0.38333333333333336,1.0
60,0.3770491803278688,0.0
61,0.3709677419354839,0.0
62,0.36507936507936506,0.0
63,0.375,1.0
64,0.4,2.0
65,0.3939393939393939,0.0
66,0.3880597014925373,0.0
67,0.36764705882352944,-1.0
68,0.37681159420289856,1.0
69,0.37142857142857144,0.0
70,0.36619718309859156,0.0
71,0.3611111111111111,0.0
72,0.3287671232876712,-2.0
73,0.33783783783783783,1.0
74,0.3333333333333333,0.0
75,0.32894736842105265,0.0
76,0.36363636363636365,3.0
77,0.38461538461538464,2.0
78,0.4177215189873418,3.0
79,0.4125,0.0
80,0.3950617283950617,-1.0
81,0.4024390243902439,1.0
82,0.42168674698795183,2.0
83,0.42857142857142855,1.0
84,0.4117647058823529,-1.0
85,0.4069767441860465,0.0
86,0.41379310344827586,1.0
87,0.4318181818181818,2.0
88,0.449438202247191,2.0
89,0.45555555555555555,1.0
90,0.45054945054945056,0.0
91,0.44565217391304346,0.0
92,0.44086021505376344,0.0
93,0.43617021276595747,0.0
94,0.4421052631578947,1.0
95,0.4270833333333333,-1.0
96,0.422680412371134,0.0
97,0.4387755102040816,2.0
98,0.43434343434343436,0.0
99,0.43,0.0
100,0.43,1.0
101,0.38,-2.0
102,0.39,0.0
103,0.38,-1.0
104,0.37,0.0
105,0.36,0.0
106,0.36,0.0
107,0.37,1.0
108,0.35,0.0
109,0.35,0.0
110,0.34,-1.0
111,0.35,0.0
112,0.36,2.0
113,0.36,2.0
114,0.35,0.0
115,0.34,-1.0
116,0.35,1.0
117,0.36,2.0
118,0.38,1.0
119,0.38,0.0
120,0.37,0.0
121,0.4,1.0
122,0.4,0.0
123,0.38,-2.0
124,0.38,0.0
125,0.38,0.0
126,0.37,1.0
127,0.4,3.0
128,0.4,0.0
129,0.45,5.0
130,0.47,1.0
131,0.48,0.0
132,0.48,-1.0
133,0.48,2.0
134,0.46,-3.0
135,0.46,0.0
136,0.42,-2.0
137,0.45,3.0
138,0.46,1.0
139,0.49,3.0
140,0.52,3.0
141,0.55,3.0
142,0.55,0.0
143,0.52,-1.0
144,0.51,0.0
145,0.48,0.0
146,0.44,-2.0
147,0.46,1.0
148,0.45,0.0
149,0.47,1.0
150,0.46,0.0
151,0.48,3.0
152,0.47,1.0
153,0.49,3.0
154,0.48,0.0
155,0.47,-1.0
156,0.48,-1.0
157,0.47,-1.0
158,0.5,3.0
159,0.48,-1.0
160,0.5,2.0
161,0.52,2.0
162,0.52,0.0
163,0.51,0.0
164,0.51,2.0
165,0.52,1.0
166,0.54,2.0
167,0.55,0.0
168,0.58,4.0
169,0.6,2.0
170,0.62,2.0
171,0.61,-1.0
172,0.69,6.0
173,0.71,3.0
174,0.73,2.0
175,0.76,3.0
176,0.73,0.0
177,0.74,3.0
178,0.71,0.0
179,0.72,1.0
180,0.73,0.0
181,0.74,2.0
182,0.8,8.0
183,0.79,0.0
184,0.81,1.0
185,0.83,2.0
186,0.81,-1.0
187,0.8,1.0
188,0.77,-1.0
189,0.75,-1.0
190,0.79,4.0
191,0.82,3.0
192,0.83,1.0
193,0.84,1.0
194,0.91,8.0
195,0.94,2.0
196,0.98,4.0
197,0.97,1.0
198,1.01,4.0
199,1.02,1.0
200,1.05,4.0
201,1.1,3.0
202,1.11,1.0
203,1.13,1.0
204,1.15,2.0
205,1.18,3.0
206,1.17,-1.0
207,1.17,1.0
208,1.17,0.0
209,1.18,1.0
210,1.19,0.0
211,1.27,8.0
212,1.27,2.0
213,1.28,3.0
214,1.28,0.0
215,1.32,3.0
216,1.36,5.0
217,1.36,2.0
218,1.4,5.0
219,1.43,3.0
220,1.45,2.0
221,1.44,0.0
222,1.57,13.0
223,1.63,4.0
224,1.66,3.0
225,1.68,2.0
226,1.69,2.0
227,1.71,5.0
228,1.75,4.0
229,1.71,1.0
230,1.74,4.0
231,1.75,1.0
232,1.81,5.0
233,1.82,3.0
234,1.88,3.0
235,1.9,2.0
236,1.93,1.0
237,1.92,2.0
238,1.92,1.0
239,1.89,0.0
240,1.91,5.0
241,1.92,4.0
242,1.94,2.0
243,2.0,5.0
244,2.05,5.0
245,2.1,5.0
246,2.15,3.0
247,2.16,2.0
248,2.18,2.0
249,2.22,5.0
250,2.25,3.0
251,2.26,4.0
252,2.26,1.0
253,2.23,0.0
254,2.32,9.0
255,2.35,2.0
256,2.38,2.0
257,2.42,3.0
258,2.4,1.0
259,2.43,2.0
260,2.44,3.0
261,2.43,1.0
262,2.45,2.0
263,2.47,2.0
264,2.51,6.0
265,2.53,3.0
266,2.61,10.0
267,2.74,13.0
268,2.75,5.0
269,2.73,0.0
270,2.7,-1.0
271,2.73,2.0
272,2.77,10.0
273,2.75,1.0
274,2.73,0.0
275,2.75,5.0
276,2.79,4.0
277,2.81,5.0
278,2.85,4.0
279,2.88,4.0
280,2.93,5.0
281,2.95,4.0
282,2.87,0.0
283,2.93,6.0
284,2.98,6.0
285,3.01,5.0
286,3.06,4.0
287,3.05,0.0
288,3.1,4.0
289,3.14,3.0
290,3.14,4.0
291,3.13,2.0
292,3.17,5.0
293,3.17,1.0
294,3.15,6.0
295,3.13,0.0
296,3.12,3.0
297,3.11,0.0
298,3.11,4.0
299,3.16,6.0
300,3.13,1.0
301,3.15,5.0
302,3.17,3.0
303,3.17,1.0
304,3.18,3.0
305,3.2,5.0
306,3.21,0.0
307,3.25,5.0
308,3.26,1.0
309,3.26,1.0
310,3.28,2.0
311,3.23,3.0
312,3.21,0.0
313,3.18,0.0
314,3.22,4.0
315,3.21,2.0
316,3.18,2.0
317,3.2,4.0
318,3.16,1.0
319,3.17,4.0
320,3.21,6.0
321,3.31,10.0
322,3.23,5.0
323,3.25,6.0
324,3.22,0.0
325,3.23,3.0
326,3.28,7.0
327,3.23,0.0
328,3.27,8.0
329,3.3,4.0
330,3.35,9.0
331,3.35,1.0
332,3.37,7.0
333,3.37,3.0
334,3.41,7.0
335,3.46,7.0
336,3.51,6.0
337,3.55,6.0
338,3.58,4.0
339,3.6,2.0
340,3.58,3.0
341,3.61,7.0
342,3.67,8.0
343,3.71,9.0
344,3.68,2.0
345,3.63,0.0
346,3.63,3.0
347,3.67,6.0
348,3.74,9.0
349,3.71,2.0
350,3.78,10.0
351,3.75,1.0
352,3.83,9.0
353,3.9,7.0
354,3.9,9.0
355,3.96,8.0
356,4.04,10.0
357,4.05,4.0
358,4.09,5.0
359,4.16,9.0
360,4.15,2.0
361,4.16,2.0
362,4.16,2.0
363,4.23,9.0
364,4.33,16.0
365,4.34,4.0
366,4.29,5.0
367,4.18,2.0
368,4.17,4.0
369,4.24,7.0
370,4.32,7.0
371,4.38,8.0
372,4.3,2.0
373,4.35,6.0
374,4.43,8.0
375,4.43,5.0
376,4.51,12.0
377,4.54,8.0
378,4.52,2.0
379,4.51,3.0
380,4.56,10.0
381,4.58,6.0
382,4.62,4.0
383,4.62,6.0
384,4.65,9.0
385,4.62,2.0
386,4.67,9.0
387,4.85,18.0
388,4.91,10.0
389,4.92,4.0
390,4.94,6.0
391,4.98,6.0
392,4.94,1.0
393,4.97,4.0
394,4.99,8.0
395,5.04,5.0
